SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.44995087872503003;67.89698078707183
117122;GreyMatter;0.682648155793628;20.248456731316587
117122;Hippocampus;0.355418316887069;38.13135192987524
117122;Thalamus;0.7331663616221944;70.01428425685718
117122;WhiteMatter;0.8043003436311617;18.81488772222678
117122-PP;Amygdala;0.44995087872503003;67.89698078707183
117122-PP;GreyMatter;0.682648155793628;20.248456731316587
117122-PP;Hippocampus;0.355418316887069;38.13135192987524
117122-PP;Thalamus;0.7331663616221944;70.01428425685718
117122-PP;WhiteMatter;0.8043003436311617;18.81488772222678
118528;Amygdala;0.38971668415529903;70.8660708661063
118528;GreyMatter;0.6965708495474707;21.18962010041709
118528;Hippocampus;0.3502990546015821;38.691084244306204
118528;Thalamus;0.7203819755296926;61.26173356998641
118528;WhiteMatter;0.8047745232864233;24.939927826679853
118528-PP;Amygdala;0.38971668415529903;70.8660708661063
118528-PP;GreyMatter;0.6965708495474707;21.18962010041709
118528-PP;Hippocampus;0.3502990546015821;38.691084244306204
118528-PP;Thalamus;0.7203819755296926;61.26173356998641
118528-PP;WhiteMatter;0.8047745232864233;24.939927826679853
118730;Amygdala;0.489746192893401;66.58077800686922
118730;GreyMatter;0.7037264493354052;20.639767440550294
118730;Hippocampus;0.3199534854745935;52.61178575186362
118730;Thalamus;0.7154486715961839;64.35060217278468
118730;WhiteMatter;0.7887762271929866;20.223748416156685
118730-PP;Amygdala;0.489746192893401;66.58077800686922
118730-PP;GreyMatter;0.7037264493354052;20.639767440550294
118730-PP;Hippocampus;0.3199534854745935;52.61178575186362
118730-PP;Thalamus;0.7154486715961839;64.35060217278468
118730-PP;WhiteMatter;0.7887762271929866;20.223748416156685
118932;Amygdala;0.525679758308157;67.53517601961218
118932;GreyMatter;0.7096431435181101;20.12461179749811
118932;Hippocampus;0.34450038328464583;73.41661937191061
118932;Thalamus;0.7108674420669449;68.38859554048467
118932;WhiteMatter;0.8139979683115696;22.9128784747792
118932-PP;Amygdala;0.525679758308157;67.53517601961218
118932-PP;GreyMatter;0.7096431435181101;20.12461179749811
118932-PP;Hippocampus;0.34450038328464583;73.41661937191061
118932-PP;Thalamus;0.7108674420669449;68.38859554048467
118932-PP;WhiteMatter;0.8139979683115696;22.9128784747792
120111;Amygdala;0.4966542750929368;52.848841046895245
120111;GreyMatter;0.6835026574143999;19.05255888325765
120111;Hippocampus;0.32948537710631054;35.45419580247167
120111;Thalamus;0.7073001676914478;62.23343153000644
120111;WhiteMatter;0.8400622513690308;22.693611435820433
120111-PP;Amygdala;0.4966542750929368;52.848841046895245
120111-PP;GreyMatter;0.6835026574143999;19.05255888325765
120111-PP;Hippocampus;0.32948537710631054;35.45419580247167
120111-PP;Thalamus;0.7073001676914478;62.23343153000644
120111-PP;WhiteMatter;0.8400622513690308;22.693611435820433
122317;Amygdala;0.5128863223184686;50.53711507397311
122317;GreyMatter;0.6969725038454198;22.02271554554524
122317;Hippocampus;0.33506331741747974;37.69615364994153
122317;Thalamus;0.7487334593572779;66.70832032063167
122317;WhiteMatter;0.8176371833291864;20.615528128088304
122317-PP;Amygdala;0.5128863223184686;50.53711507397311
122317-PP;GreyMatter;0.6969725038454198;22.02271554554524
122317-PP;Hippocampus;0.33506331741747974;37.69615364994153
122317-PP;Thalamus;0.7487334593572779;66.70832032063167
122317-PP;WhiteMatter;0.8176371833291864;20.615528128088304
122620;Amygdala;0.48169092426068416;62.44197306299666
122620;GreyMatter;0.7016582364567615;22.360679774997898
122620;Hippocampus;0.33836701310618605;50.28916384272063
122620;Thalamus;0.7264099974160814;65.62011886609167
122620;WhiteMatter;0.7930227329339731;29.631064780058107
122620-PP;Amygdala;0.48169092426068416;62.44197306299666
122620-PP;GreyMatter;0.7016582364567615;22.360679774997898
122620-PP;Hippocampus;0.33836701310618605;50.28916384272063
122620-PP;Thalamus;0.7264099974160814;65.62011886609167
122620-PP;WhiteMatter;0.7930227329339731;29.631064780058107
123117;Amygdala;0.49305029062421024;64.90762667052309
123117;GreyMatter;0.6970383791149801;22.045407685048602
123117;Hippocampus;0.35285565939771546;75.66372975210778
123117;Thalamus;0.7131312208930691;64.69930447848725
123117;WhiteMatter;0.8310091404160987;21.656407827707714
123117-PP;Amygdala;0.49305029062421024;64.90762667052309
123117-PP;GreyMatter;0.6970383791149801;22.045407685048602
123117-PP;Hippocampus;0.35285565939771546;75.66372975210778
123117-PP;Thalamus;0.7131312208930691;64.69930447848725
123117-PP;WhiteMatter;0.8310091404160987;21.656407827707714
123925;Amygdala;0.4636719927645463;63.953107821277925
123925;GreyMatter;0.6835293804792001;20.024984394500787
123925;Hippocampus;0.3549074361361051;69.4334213473598
123925;Thalamus;0.7523738350624231;62.545983084447556
123925;WhiteMatter;0.8216867989460201;22.516660498395403
123925-PP;Amygdala;0.4636719927645463;63.953107821277925
123925-PP;GreyMatter;0.6835293804792001;20.024984394500787
123925-PP;Hippocampus;0.3549074361361051;69.4334213473598
123925-PP;Thalamus;0.7523738350624231;62.545983084447556
123925-PP;WhiteMatter;0.8216867989460201;22.516660498395403
124422;Amygdala;0.5114352602197011;68.22023160324215
124422;GreyMatter;0.6731461565724469;21.656407827707714
124422;Hippocampus;0.3452792510360525;37.17526059088221
124422;Thalamus;0.773980100712774;63.229739838148944
124422;WhiteMatter;0.775560796862572;26.570660511172846
124422-PP;Amygdala;0.5114352602197011;68.22023160324215
124422-PP;GreyMatter;0.6731461565724469;21.656407827707714
124422-PP;Hippocampus;0.3452792510360525;37.17526059088221
